Global Rank,Channel ID,Channel Name,Subscribers,Total Views,Total Videos,Country,Description,Views_por_Inscrito
59,UCbWYmIdZ2hpVMpPhRI9pI5Q,Cadres,22400000,10425753357,3028,BR,"Minecraft channel focused on children's and teenagers' content, I hope you like it! Compre Produtos do Cadres, na minha Loja: https://lp.curtaloja.com/cadres/ Business Contact: comercial@agenciacurta.com *Vídeos as 09h, não perca!!!",465.4354177232143
94,UC6P6SvP2arhEdJ9Pg8qwP2A,Athos,15900000,9501469972,3793,BR,🔴 VÍDEOS NOVOS TODOS DIAS 10:30 DA MANHÃ 🔴  Acesse nossa Loja Oficial: lojadoathos.com  📧 Email comercial: ads@playathos.com ,597.5767277987421
100,UCR-Y4lWmrCYbr1XavmNMlvQ,Canal Clash War,14800000,3156641448,3986,BR,"Se inscreve e faça parte da família :)💙🧡  No estilo claro bemmmm vamo dale ou não vamooo!  se você não dale, dalecença! inscreva-se e junte-se á família baaaaxaada! TÃO TÃO NESSE CANAL VOCÊ VAI ENCONTRAR GAMEPLAY ZUEIRA, TÁ LIGADO? E GAMEPLAY PROFISSIONAL POR QUE AQUI NÓS RUSHAA RIRIRIRIRI NÃO SÓ DEMORO COMO DEMORASSE PRA SE INSCREVERRRR   Contato: contato@clashwar.org",213.28658432432434
108,UCHuZmQ0lSW8TG81dVZZh5rw,LipaoGamer,13800000,5190577600,13283,BR,"Inscreva-se no canal, aqui tem vídeo todo dia ❤️  Contato Comercial: lipaogamer@agenciacurta.com  ",376.1288115942029
124,UCrcBZDofBltcgGxphNia2tw,ProbIems,11900000,9181178071,5107,BR,Problems💙 https://www.instagram.com/lucascampiaao/ Mel 💛https://www.instagram.com/kaikemel/ Kadu ❤️ https://www.instagram.com/kadukon/ Stick 💚https://www.instagram.com/guualfaro/ Zoom🧡 https://www.instagram.com/zoomastroofc/ Turma💙 https://www.instagram.com/problems_sr/ Email para fãs mandarem mensagens: problemsmensagens@gmail.com  Email Comercial: comercial@agenciacurta.com ,771.5275689915967
126,UCYSrT9w_V_5wpEahYXTeXUw,JP Plays,11800000,5076038590,4364,BR,"JP e MCFly vivem todos os dias novas aventuras, sempre com boas risadas !  Contato comercial: contatojpplaysoficial@gmail.com   ",430.17276186440677
140,UCEfGV5hx2VrXl4jOUnG0MRQ,Geleia,10700000,3540866811,2442,BR,Seja muito bem-vindo ao canal do Geleia!  ✉️ Contato profissional: comercial@agenciacurta.com  ♥ Nossas Conquistas  • INÍCIO: 22/07/2016 • 100 inscritos: 14/10/2016 • 500 inscritos: 03/02/2017 • 1 mil inscritos: 11/04/2017 • 10 mil inscritos:  27/09/2019 • 20 mil inscritos: 11/05/2020 • 30 mil inscritos: 04/06/2020 • 40 mil inscritos: 24/06/2020 • 50 mil inscritos: 22/07/2020 • 100 mil inscritos: ,330.9221318691589
156,UCH27Wi4vlk2inrM8PLz02AQ,Nicole Maffi,9770000,2655873560,2889,BR,"Oi, eu sou a Nicole Maffi! Espero que vocês gostem dos meus vídeos e se divirtam muito comigo! ",271.83966837256907
170,UCIwspRtKNszHhIhl36gREjQ,alanzoka,9050000,2415184416,4285,BR,"To sempre jogando alguma coisa ai  contato: alanzoka@vandep.ag  Não autorizo o uso desses vídeos ou qualquer outro das lives em outro canal, para qualquer dúvida     ",266.8712061878453
183,UCJAbkIY17zAmCTNQHH0bQoQ,Gameplayrj,8480000,4063818344,23501,BR,"Noticias e opiniões do mundo dos videos games todos os dias!  𝗦𝗜𝗚𝗔 🡢 https://www.instagram.com/gameplayrj 🡢 https://www.instagram.com/odavyjones  ---------- O Gameplayrj não autoriza o uso de sua imagem, voz, áudio ou cortes sem prévia autorização. Qualquer uso não autorizado, ainda que alegado como 'fair use', fora dos ditames legais e das políticas do YouTube, constitui violação de direitos. O u",479.22386132075474
199,UCMqwki1wq79sf5IBueB9pQQ,PIZÃO,8170000,1738816345,1356,BR,"📩 pizao@kr3w.gg  BEM VINDOS AO CANAL DO MANO PIZÃO  Esse é o canal do mano Pizão, espero que gostem.    ",212.82941799265606
213,UCUouM5ZRqZoFNzUvpDeYNGQ,Lucas Clash ON,7630000,2104139275,2702,BR,Minha força vem de Deus🌵💚  Email: comercial@agenciacurta.com ,275.7718577981651
219,UCABon3LeMfnU5ajXaOYC1oA,Amy Scarlet,7480000,1955420925,1080,BR,Bem Vindos ao Canal da Amy em Brookhaven.  Aqui vocês acompanham as aventuras da Amy Scarlet em Brookhaven. Lembrando que os vídeos não são recomendados para crianças.  Não esquece de se inscrever 🩷  📩 contato: amyscarletassessoria@gmail.com ,261.4199097593583
267,UCDVS7-YYxiQ62r46KXmp-kw,Luluca Games,6070000,2222159546,1424,BR,"Olá!  Eu sou a Luíza, mas todos me chamam de Luluca.  Adoro jogos e adoro gravar vídeos, aqui eu uni os dois. Acompanhe aqui minhas aventuras nos games... Roblox, Minecraft, The Sims, House Flipper, Among US Realidade Virtual e muito mais.  Tenho também outro canal de novelinhas, desafios, blogs: Crescendo com Luluca    https://www.youtube.com/channel/UCnrGkE2AmBAv6Vxj6kjf1jg  Espero que se divirt",366.08888731466226
302,UCvW6D401uETeZuvMrNfgwdg,Pablo Oficial,5460000,4653922578,446,BR, Shows: 75- 9. 9127-5417  /  71 - 9.9967-3537 ,852.3667725274726
